,id,time,velocity,pile,acceleration,roadsection,distance,remain
301,5,42,33.280125057149675,794.5755494987508,-0.052633479423825236,C5,144.57554949875077,5.4244505012492255
51,6,17,19.764689,0.0,0.0,C1,0.0,150.0
57,6,18,20.523122025181294,20.523122025181294,0.7584330251812936,C1,20.523122025181294,129.4768779748187
63,6,19,21.275452420127333,41.798574445308624,0.7523303949460391,C1,41.798574445308624,108.20142555469138
69,6,20,22.050382250875924,63.84895669618455,0.7749298307485901,C1,63.84895669618455,86.15104330381544
76,6,21,22.83803337688813,86.68699007307269,0.7876511260122072,C1,86.68699007307269,63.31300992692731
83,6,22,23.61232103166426,110.29931110473694,0.7742876547761277,C1,110.29931110473694,39.700688895263056
91,6,23,24.380872344386525,134.68018344912346,0.7685513127222663,C1,134.68018344912346,15.319816550876538
99,6,24,25.13294084902177,159.81312429814523,0.7520685046352469,B2,9.813124298145226,90.18687570185477
107,6,25,25.91481258598412,185.72793688412935,0.7818717369623478,B2,35.72793688412935,64.27206311587065
116,6,26,26.652496654850193,212.38043353897956,0.7376840688660735,B2,62.38043353897956,37.61956646102044
126,6,27,27.429192268376003,239.80962580735553,0.7766956135258098,B2,89.80962580735553,10.19037419264447
136,6,28,27.681451133759982,267.4910769411155,0.252258865383979,A3,17.491076941115523,282.5089230588845
146,6,29,27.676003559110974,295.16708050022646,-0.0054475746490076915,A3,45.16708050022646,254.83291949977354
156,6,30,27.64404757128126,322.8111280715077,-0.03195598782971487,A3,72.81112807150771,227.1888719284923
167,6,31,27.678579119658387,350.48970719116613,0.03453154837712802,A3,100.48970719116613,199.51029280883387
177,6,32,27.625690110447174,378.1153973016133,-0.052889009211213533,A3,128.1153973016133,171.8846026983867
188,6,33,27.6447026607304,405.7600999623437,0.019012550283225238,A3,155.7600999623437,144.2399000376563
200,6,34,27.685207049148445,433.44530701149216,0.04050438841804649,A3,183.44530701149216,116.55469298850784
212,6,35,27.675684837932057,461.12099184942423,-0.009522211216388854,A3,211.12099184942423,88.87900815057577
225,6,36,27.665504601570134,488.7864964509944,-0.010180236361922113,A3,238.78649645099438,61.21350354900562
238,6,37,27.689978853659994,516.4764753046544,0.02447425208985976,A3,266.4764753046544,33.5235246953456
251,6,38,27.661554407710497,544.1380297123649,-0.028424445949497112,A3,294.13802971236487,5.861970287635131
263,6,39,27.65158114810503,571.7896108604699,-0.009973259605466467,B4,21.789610860469907,78.2103891395301
276,6,40,27.657571924040383,599.4471827845103,0.005990775935352133,B4,49.447182784510346,50.552817215489654
289,6,41,27.641616645185564,627.0887994296959,-0.01595527885481829,B4,77.08879942969588,22.911200570304118
302,6,42,27.652537500886535,654.7413369305823,0.010920855700970122,C5,4.7413369305822926,145.2586630694177
315,6,43,27.65690642052359,682.398243351106,0.004368919637055768,C5,32.398243351105975,117.60175664889402
328,6,44,27.66784775718144,710.0660911082873,0.010941336657850798,C5,60.06609110828731,89.93390889171269
342,6,45,27.630032205740278,737.6961233140277,-0.03781555144116311,C5,87.69612331402766,62.30387668597234
356,6,46,27.64948556846968,765.3456088824973,0.01945336272940068,C5,115.34560888249734,34.654391117502655
370,6,47,27.652648208802855,792.9982570913002,0.0031626403331763697,C5,142.99825709130016,7.001742908699839
70,7,20,21.593194,0.0,0.0,C1,0.0,150.0
